,dataset,ssim_norm,ssim
0,ShanghaiTech_part_A,0.4717685282230377,0.2037365883588791
1,ShanghaiTech_part_A,0.8670578002929688,0.8711917996406555
2,ShanghaiTech_part_A,0.5329403281211853,0.589332640171051
3,ShanghaiTech_part_A,0.5036419630050659,0.21909689903259277
4,ShanghaiTech_part_A,0.4050886631011963,0.35973411798477173
5,ShanghaiTech_part_A,0.8556293845176697,0.8003472089767456
6,ShanghaiTech_part_A,0.5347233414649963,0.5603224039077759
7,ShanghaiTech_part_A,0.4635329246520996,0.48116254806518555
8,ShanghaiTech_part_A,0.8462927937507629,0.8539917469024658
9,ShanghaiTech_part_A,0.4474662244319916,0.22591820359230042
10,ShanghaiTech_part_A,0.8837836980819702,0.8816295862197876
11,ShanghaiTech_part_A,0.7406914234161377,0.7742065191268921
12,ShanghaiTech_part_A,0.476742148399353,0.47038960456848145
13,ShanghaiTech_part_A,0.17134200036525726,0.05124032497406006
14,ShanghaiTech_part_A,0.37400442361831665,0.34288695454597473
15,ShanghaiTech_part_A,0.3987773656845093,0.13488829135894775
16,ShanghaiTech_part_A,0.47332659363746643,0.2960043251514435
17,ShanghaiTech_part_A,0.8373252153396606,0.8446100354194641
18,ShanghaiTech_part_A,0.29948940873146057,0.19936831295490265
19,ShanghaiTech_part_A,0.5682644844055176,0.3804769814014435
20,ShanghaiTech_part_A,0.365274578332901,0.3694319427013397
21,ShanghaiTech_part_A,0.5090035796165466,0.37836870551109314
22,ShanghaiTech_part_A,0.5479151010513306,0.4407670795917511
23,ShanghaiTech_part_A,0.5655797123908997,0.5331261157989502
24,ShanghaiTech_part_A,0.7380115389823914,0.6734728813171387
25,ShanghaiTech_part_A,0.8346419334411621,0.7453693747520447
26,ShanghaiTech_part_A,0.410414457321167,0.38430941104888916
27,ShanghaiTech_part_A,0.42022281885147095,0.23724620044231415
28,ShanghaiTech_part_A,0.6129475831985474,0.6285937428474426
29,ShanghaiTech_part_A,0.7803086042404175,0.7306416630744934
30,ShanghaiTech_part_A,0.6056583523750305,0.6555501222610474
31,ShanghaiTech_part_A,0.8243789672851562,0.7101498246192932
32,ShanghaiTech_part_A,0.8328711986541748,0.73028564453125
33,ShanghaiTech_part_A,0.5568175315856934,0.5087774991989136
34,ShanghaiTech_part_A,0.7182273864746094,0.6432403922080994
35,ShanghaiTech_part_A,0.6589264273643494,0.5382099151611328
36,ShanghaiTech_part_A,0.8839899897575378,0.8814985752105713
37,ShanghaiTech_part_A,0.8843450546264648,0.8834756016731262
38,ShanghaiTech_part_A,0.38213932514190674,0.29957717657089233
39,ShanghaiTech_part_A,0.6234626770019531,0.6301869750022888
40,ShanghaiTech_part_A,0.6437352299690247,0.49281537532806396
41,ShanghaiTech_part_A,0.7578195929527283,0.6580900549888611
42,ShanghaiTech_part_A,0.8738213181495667,0.8860503435134888
43,ShanghaiTech_part_A,0.7847960591316223,0.8443503379821777
44,ShanghaiTech_part_A,0.8068012595176697,0.7584984302520752
45,ShanghaiTech_part_A,0.8246965408325195,0.7875891923904419
46,ShanghaiTech_part_A,0.6148914694786072,0.42670750617980957
47,ShanghaiTech_part_A,0.744511067867279,0.7282356023788452
48,ShanghaiTech_part_A,0.9400282502174377,0.9146090745925903
49,ShanghaiTech_part_A,0.571300745010376,0.5213548541069031
50,ShanghaiTech_part_A,0.5051112771034241,0.49319109320640564
51,ShanghaiTech_part_A,0.7305144667625427,0.5056648850440979
52,ShanghaiTech_part_A,0.8910982608795166,0.894955039024353
53,ShanghaiTech_part_A,0.5818924307823181,0.4846760928630829
54,ShanghaiTech_part_A,0.8203379511833191,0.8417576551437378
55,ShanghaiTech_part_A,0.8071717023849487,0.7987778186798096
56,ShanghaiTech_part_A,0.7728607058525085,0.7646899819374084
57,ShanghaiTech_part_A,0.6163092255592346,0.5341959595680237
58,ShanghaiTech_part_A,0.6311331391334534,0.41941648721694946
59,ShanghaiTech_part_A,0.7120288610458374,0.5901854038238525
60,ShanghaiTech_part_A,0.3419739305973053,0.21811167895793915
61,ShanghaiTech_part_A,0.37036997079849243,0.13043378293514252
62,ShanghaiTech_part_A,0.8468917012214661,0.7170160412788391
63,ShanghaiTech_part_A,0.643037736415863,0.5700457096099854
64,ShanghaiTech_part_A,0.5559784173965454,0.5222569704055786
65,ShanghaiTech_part_A,0.7749422788619995,0.674258291721344
66,ShanghaiTech_part_A,0.7031344175338745,0.6928953528404236
67,ShanghaiTech_part_A,0.8597396612167358,0.86103355884552
68,ShanghaiTech_part_A,0.8582454323768616,0.8549307584762573
